StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q18,Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,screen_out
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to participate in this research?,Please paste your SONA or Prolific ID into the box below:,What is your age?,Do you speak English fluently?,What education level have you attained?,Do you have normal or corrected-to-normal vision and hearing?,Do you have any history of neurological injury or disease?,Do any of the following conditions apply to you?,What is your self-identified gender?,What is your ethnicity?,What is your race?,Do you consider yourself:,Do you fluently speak any languages other than English?,"If so, when did you start learning each language?",Think about your experiences in grade school and high school. Do any of the following descriptions apply to you?,Have you ever been diagnosed with Autism Spectrum Disorder?,screen_out
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""screen_out""}"
2024-06-20 14:00:41,2024-06-20 14:00:52,IP Address,104.39.173.93,100,10,True,2024-06-20 14:00:52,R_7zeBnMjq6aNlt61,,,,,40.8103,-77.888,anonymous,EN,No,,,,,,,,,,,,,,,,
2024-06-20 14:26:08,2024-06-20 14:26:18,IP Address,104.39.173.93,100,10,True,2024-06-20 14:26:19,R_8PAL6FkAMuBoFyw,,,,,40.8103,-77.888,anonymous,EN,No,,,,,,,,,,,,,,,,
2024-06-20 14:36:36,2024-06-20 14:36:41,IP Address,104.39.173.93,100,5,True,2024-06-20 14:36:42,R_6qVeOl7VveIWpmI,,,,,40.8103,-77.888,anonymous,EN,No,,,,,,,,,,,,,,,,
2024-06-20 14:36:48,2024-06-20 14:37:20,IP Address,104.39.173.93,100,31,True,2024-06-20 14:37:20,R_6phwuTpHBGR109s,,,,,40.8103,-77.888,anonymous,EN,Yes,test,12,Yes,Less than high school,Yes,No,"You or a member of your family has been diagnosed with epilepsy,You or a member of your family has any history of seizure",,,,,,,,,
2024-06-20 14:37:28,2024-06-20 14:38:03,IP Address,104.39.173.93,100,35,True,2024-06-20 14:38:04,R_5KC2NLQWHrObVda,,,,,40.8103,-77.888,anonymous,EN,Yes,test,12,Yes,Less than high school,Yes,Yes,"You have had multiple concussions, brain injuries other than a concussion, or a stroke",w,Hispanic or Latino,Asian,Left-handed,w,w,"I received extra help with reading (for example, special reading class, worked with reading specialist).",Yes,
2024-06-20 16:22:59,2024-06-20 16:23:38,IP Address,98.211.173.188,100,38,True,2024-06-20 16:23:39,R_1zCRSouLMEfSoq1,,,,,26.125,-80.267,anonymous,EN,Yes,60f0ae9c7798b3360564605a,24,Yes,High school graduate,Yes,No,You or a member of your family has any history of seizure,,,,,,,,,
2024-06-20 16:39:45,2024-06-20 16:42:34,IP Address,96.61.135.161,100,168,True,2024-06-20 16:42:34,R_1U956fVVRS2mj5V,,,,,37.3422,-77.985,anonymous,EN,Yes,6668638969c262c57953ef3b,23,Yes,4 year degree,Yes,No,You or a member of your family has any history of seizure,,,,,,,,,
2024-06-20 17:22:03,2024-06-20 17:23:58,IP Address,136.36.9.160,100,115,True,2024-06-20 17:23:59,R_1R2Dw7XRLJM33hu,,,,,40.2342,-111.6442,anonymous,EN,Yes,61030c1832cdefc11c8988f6,25,Yes,4 year degree,Yes,Yes,You or a member of your family has been diagnosed with epilepsy,,,,,,,,,
2024-06-20 17:21:45,2024-06-20 17:27:25,IP Address,140.150.167.179,100,340,True,2024-06-20 17:27:26,R_7nkz4XHxqgFVZwl,,,,,37.751,-97.822,anonymous,EN,Yes,664b804f02ee82829c916d49,25,Yes,4 year degree,Yes,No,You or a member of your family has been diagnosed with epilepsy,,,,,,,,,
2024-06-20 17:27:52,2024-06-20 17:31:35,IP Address,140.150.167.179,100,222,True,2024-06-20 17:31:35,R_7QMXSt5eg2rmXwq,,,,,37.751,-97.822,anonymous,EN,Yes,664b804f02ee82829c916d49,25,Yes,4 year degree,Yes,No,You or a member of your family has any history of seizure,,,,,,,,,
2024-06-20 17:31:45,2024-06-20 17:34:07,IP Address,140.150.167.179,100,141,True,2024-06-20 17:34:07,R_5PAU0vwLd4eJMVe,,,,,37.751,-97.822,anonymous,EN,Yes,664b804f02ee82829c916d49,25,Yes,4 year degree,Yes,No,"You have had multiple concussions, brain injuries other than a concussion, or a stroke",male,Not Hispanic or Latino,Black or African American,Right-handed,no,,None of these apply to me.,No,
2024-06-20 17:39:08,2024-06-20 17:39:53,IP Address,47.198.4.52,100,44,True,2024-06-20 17:39:54,R_7zcpS5fxO1oZGFl,,,,,28.1412,-82.5931,anonymous,EN,Yes,657235b694db71c5aadcafe9,23,Yes,4 year degree,Yes,No,You or a member of your family has any history of seizure,,,,,,,,,
