StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q18,Q1,Q2,Q3,Q4,Q5,Q6,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,screen_out
2025-03-31 13:56:18,2025-03-31 13:57:38,IP Address,12.75.36.109,100,80,True,2025-03-31 13:57:38,R_7fpAcYYvr4MszRL,,,,,41.6672,-87.5625,anonymous,EN,Yes,561d61b83d7fe800110f5e0a,28,Yes,4 year degree,Yes,No,None of the above,woman,Not Hispanic or Latino,White,Right-handed,No,,"Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2025-02-20 15:59:45,2025-02-20 16:03:00,IP Address,96.225.77.42,100,194,True,2025-02-20 16:03:00,R_12m68bEbFzBSsGU,,,,,40.6679,-74.1178,anonymous,EN,Yes,58adfc6e7cf56d0001f931a2,27,Yes,2 year degree,Yes,No,None of the above,Male,Not Hispanic or Latino,Black or African American,Right-handed,No,N/a,"I received extra help with reading (for example, special reading class, worked with reading specialist).,I didn’t receive extra help but math was very hard for me.,I spent some of my time in a resource room or special education class.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2025-04-16 14:20:41,2025-04-16 14:21:37,IP Address,71.91.155.171,100,56,True,2025-04-16 14:21:38,R_1YEQuH9lvdlSmwV,,,,,30.5178,-92.0878,anonymous,EN,Yes,5a95a63e4eecca0001dd4cfa,28,Yes,High school graduate,Yes,No,None of the above,man,Not Hispanic or Latino,Black or African American,Right-handed,no,,None of these apply to me.,No,
2025-02-18 17:14:30,2025-02-18 17:17:00,IP Address,71.38.143.189,100,150,True,2025-02-18 17:17:00,R_6jRZaoEV4a8sldT,,,,,36.0861,-115.2541,anonymous,EN,Yes,5bf21da1f4d94900011ccf32,26,Yes,High school graduate,Yes,No,None of the above,Female,Not Hispanic or Latino,Black or African American,Left-handed,,,"I received extra help with math (for example, special math class, one-on-one tutoring).,I spent some of my time in a resource room or special education class.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2025-06-25 13:24:38,2025-06-25 13:26:14,IP Address,136.52.109.6,100,95,True,2025-06-25 13:26:14,R_58BupfucBwFGTZm,,,,,33.7389,-117.748,anonymous,EN,Yes,5cfb82036a293c00169ea37e,25,Yes,2 year degree,Yes,No,None of the above,Woman,Not Hispanic or Latino,White,Right-handed,No,,I didn’t receive extra help but math was very hard for me.,No,
2025-03-31 17:09:14,2025-03-31 17:13:39,IP Address,206.194.218.76,100,265,True,2025-03-31 17:13:40,R_5SUZiujW7ccBZAd,,,,,26.2312,-80.1224,anonymous,EN,Yes,5d54fef50a2a1600195cb7cf,27,Yes,2 year degree,Yes,No,None of the above,non-binary,Not Hispanic or Latino,White,Right-handed,no,,"I received extra help with math (for example, special math class, one-on-one tutoring).,I received speech and/or language therapy.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",Yes,
2025-02-21 13:17:35,2025-02-21 13:18:36,IP Address,45.27.229.96,100,61,True,2025-02-21 13:18:37,R_6UqhahJr593TNzX,,,,,36.0913,-80.3271,anonymous,EN,Yes,5dc98ea46c76b36aaada5f47,22,Yes,4 year degree,Yes,No,None of the above,male,Not Hispanic or Latino,White,Right-handed,no,,"None of these apply to me.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2025-06-25 14:45:12,2025-06-25 14:48:09,IP Address,69.153.114.100,100,177,True,2025-06-25 14:48:10,R_3Uk8IPygmJtOg4V,,,,,35.0812,-92.4722,anonymous,EN,Yes,5dda154216d10c98f29d411f,27,Yes,High school graduate,Yes,No,None of the above,woman,Not Hispanic or Latino,White,Right-handed,no,,"I didn’t receive extra help but math was very hard for me.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",Yes,
2025-04-16 12:17:23,2025-04-16 12:19:50,IP Address,24.240.28.236,100,146,True,2025-04-16 12:19:50,R_5Nq38fvo1q8Maez,,,,,33.4772,-84.0554,anonymous,EN,Yes,5e0c664d78322543b1fea686,20,Yes,Some college,Yes,No,None of the above,Male,Not Hispanic or Latino,Black or African American,Right-handed,,,None of these apply to me.,No,
2025-06-25 14:14:09,2025-06-25 14:15:03,IP Address,174.203.98.107,100,53,True,2025-06-25 14:15:03,R_32VrAR6dexyXCO9,,,,,40.4422,-79.9927,anonymous,EN,Yes,5e7fefe06c12706d47e35211,25,Yes,Professional degree,Yes,No,None of the above,Female,Not Hispanic or Latino,White,Left-handed,No,,None of these apply to me.,No,
2025-02-20 16:05:53,2025-02-20 16:08:14,IP Address,50.54.60.198,100,141,True,2025-02-20 16:08:14,R_6AGuUSJhaaFNxdF,,,,,41.395,-82.5552,anonymous,EN,Yes,5edc465dcee6c191209e2d9a,21,Yes,High school graduate,Yes,No,None of the above,Male,Not Hispanic or Latino,White,Ambidextrous,No just english.,,"I didn’t receive extra help but writing was very hard for me.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",Yes,
2025-02-20 16:03:05,2025-02-20 16:04:20,IP Address,174.73.242.29,100,74,True,2025-02-20 16:04:21,R_3UlH9fdlitmv8I1,,,,,32.2699,-110.9853,anonymous,EN,Yes,5f39f31dee7b8f5b55f3767a,23,Yes,4 year degree,Yes,No,None of the above,nonbinary,Not Hispanic or Latino,White,Right-handed,no,,"I received extra help with math (for example, special math class, one-on-one tutoring).,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2024-12-05 16:25:07,2024-12-05 16:48:50,IP Address,162.205.163.207,100,1422,True,2024-12-05 16:48:51,R_6QmFl8dlBgAfeJT,,,,,37.2103,-93.3046,anonymous,EN,Yes,5f50732850c7c600098593df,25,Yes,Some college,Yes,No,None of the above,male,Hispanic or Latino,Black or African American,Right-handed,,,"I didn’t receive extra help but reading was very hard for me.,I didn’t receive extra help but math was very hard for me.",No,
2025-06-25 14:56:09,2025-06-25 14:57:30,IP Address,24.151.102.80,100,81,True,2025-06-25 14:57:31,R_6y2xusN1fOEmnbU,,,,,41.5782,-73.415,anonymous,EN,Yes,5f5ea24540d99b76cb6af503,26,Yes,4 year degree,Yes,No,None of the above,Woman,Not Hispanic or Latino,White,Right-handed,No,,None of these apply to me.,No,
2025-01-22 09:42:50,2025-01-22 09:47:54,IP Address,174.103.149.150,100,304,True,2025-01-22 09:47:54,R_1MQAQMZg1uKt6Xf,,,,,39.6062,-84.1695,anonymous,EN,Yes,5f9389fafdbecb173b329cca,23,Yes,Some college,Yes,No,None of the above,female,Not Hispanic or Latino,White,Right-handed,no,,"I received extra help with math (for example, special math class, one-on-one tutoring).,I received speech and/or language therapy.,I spent some of my time in a resource room or special education class.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",Yes,
2025-03-31 15:31:50,2025-03-31 15:44:25,IP Address,35.149.53.132,100,754,True,2025-03-31 15:44:25,R_70YlVjwsfZsdUjk,,,,,33.784,-118.1854,anonymous,EN,Yes,603c30cc6aac099ca7f0b6b9,23,Yes,High school graduate,Yes,No,None of the above,Woman,Hispanic or Latino,White,Right-handed,No,,None of these apply to me.,No,
2025-04-03 13:43:04,2025-04-03 13:44:35,IP Address,71.209.97.169,100,91,True,2025-04-03 13:44:35,R_5SAZMNgx0U5tcbP,,,,,30.4982,-86.136,anonymous,EN,Yes,60413ee98b05db0b2f74a0c7,22,Yes,4 year degree,Yes,No,None of the above,male,Not Hispanic or Latino,Black or African American,Right-handed,No. ,,None of these apply to me.,No,
2025-01-22 11:13:52,2025-01-22 11:17:51,IP Address,74.132.183.93,100,238,True,2025-01-22 11:17:52,R_15Xilyjwjf7TxzG,,,,,39.2689,-84.2638,anonymous,EN,Yes,607b73619e1bfba7bfb23cce,27,Yes,High school graduate,No,No,None of the above,male,Not Hispanic or Latino,White,Right-handed,no,,"I received extra help with reading (for example, special reading class, worked with reading specialist).,I received extra help with math (for example, special math class, one-on-one tutoring).,I received extra help with writing (for example, special writing class, one-on-one tutoring).,I received speech and/or language therapy.",No,
2025-03-27 17:14:58,2025-03-27 17:16:38,IP Address,208.189.218.24,100,99,True,2025-03-27 17:16:39,R_7Ptk4FrBfscx09d,,,,,30.0843,-81.8629,anonymous,EN,Yes,6083aac9d3384eb581f4345a,27,Yes,Some college,Yes,Yes,None of the above,Male,Not Hispanic or Latino,White,Left-handed,No,,"I didn’t receive extra help but reading was very hard for me.,I didn’t receive extra help but writing was very hard for me.,Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
2025-04-16 11:52:38,2025-04-16 11:55:22,IP Address,47.205.102.15,100,164,True,2025-04-16 11:55:23,R_5CIMkOoLEb0wchN,,,,,27.2887,-82.4759,anonymous,EN,Yes,60cfdcfdf8a3c6c42dad17d3,26,Yes,High school graduate,Yes,No,None of the above,female,Not Hispanic or Latino,White,Right-handed,no,,I didn’t receive extra help but reading was very hard for me.,No,
2024-12-05 10:09:39,2024-12-05 10:11:46,IP Address,136.53.88.194,100,126,True,2024-12-05 10:11:47,R_62XuDb2Nni8gjKx,,,,,34.6174,-86.5538,anonymous,EN,Yes,60f1faa39def9e1f15734734,25,Yes,High school graduate,Yes,No,None of the above,male,Not Hispanic or Latino,White,Right-handed,no,,I didn’t receive extra help but math was very hard for me.,No,
2025-02-19 10:42:01,2025-02-19 10:43:02,IP Address,68.57.46.244,100,61,True,2025-02-19 10:43:03,R_3S9cnAavggTrQYy,,,,,35.982,-87.1214,anonymous,EN,Yes,60fefa8d26f46e84a295b223,23,Yes,4 year degree,Yes,No,None of the above,female,Hispanic or Latino,White,Right-handed,no,,None of these apply to me.,No,
2024-12-12 17:03:21,2024-12-12 17:11:21,IP Address,174.171.94.25,100,480,True,2024-12-12 17:11:21,R_3Cc06H3vv9a6cQV,,,,,30.0043,-95.1747,anonymous,EN,Yes,60ff3e2c4bfce687de93f201,23,Yes,Some college,Yes,No,None of the above,women,Not Hispanic or Latino,Black or African American,Right-handed,no,,"I received extra help with reading (for example, special reading class, worked with reading specialist).,I received extra help with math (for example, special math class, one-on-one tutoring).",Yes,
2025-02-24 17:06:53,2025-02-24 17:08:30,IP Address,99.157.55.27,100,97,True,2025-02-24 17:08:31,R_6jgPAuBDRQIgXBL,,,,,33.8656,-84.0725,anonymous,EN,Yes,610197ccfc001fec7476a5b8,26,Yes,4 year degree,Yes,No,None of the above,Female,Not Hispanic or Latino,Black or African American,Right-handed,N/a,N/a,None of these apply to me.,No,
2025-04-03 13:10:31,2025-04-03 13:13:35,IP Address,134.124.26.93,100,183,True,2025-04-03 13:13:35,R_7jz8pvvFWQiwC9H,,,,,38.7059,-90.3078,anonymous,EN,Yes,610323ca05b079779050b314,25,Yes,Professional degree,Yes,No,None of the above,Female,Not Hispanic or Latino,Black or African American,Right-handed,Korean,16,"I received extra help with math (for example, special math class, one-on-one tutoring).",No,
2025-01-22 10:25:01,2025-01-22 10:35:48,IP Address,47.217.129.162,100,647,True,2025-01-22 10:35:48,R_5CAQJlUcca568HZ,,,,,35.7445,-95.3451,anonymous,EN,Yes,6105619fd55674bb2c2f0f74,27,Yes,High school graduate,Yes,No,None of the above,female,Not Hispanic or Latino,White,Right-handed,no,I am not speaking any other language.,I spent some of my time in a resource room or special education class.,Yes,
2025-06-25 14:07:41,2025-06-25 14:09:04,IP Address,47.220.148.230,100,82,True,2025-06-25 14:09:04,R_3bb3wKwc8oIVjCp,,,,,30.6411,-97.7511,anonymous,EN,Yes,6105b070e8c88d85f08bbe25,24,Yes,2 year degree,Yes,No,None of the above,Non-binary,Not Hispanic or Latino,White,Right-handed,no,,None of these apply to me.,No,
2025-01-22 10:31:40,2025-01-22 10:34:10,IP Address,184.55.151.217,100,150,True,2025-01-22 10:34:11,R_3EoHN5tzzvAHwe7,,,,,44.1807,-88.476,anonymous,EN,Yes,610789b24bd91160b2358b12,28,Yes,4 year degree,Yes,No,None of the above,woman,Not Hispanic or Latino,White,Right-handed,no,,"Have you ever been formally diagnosed with a language or learning disorder (including ADHD)? If so, what was the diagnosis?",No,
