(1) Matrix_Reasoning,(11) N-Back,(2) Modified_Token_Test_NEW,(3) Word Definitions,(4) Spelling_Test,(5) Verbal_Fluency,(7) Language_Production,(9) Recalling_Sentences,ds_backward,ds_forward,pop,id,age,education
23.0,0.0,38.0,42.0,13.0,,,59.0,5.0,10.0,dld,561d61b83d7fe800110f5e0a,28,4 year degree
20.0,0.0,23.0,28.0,10.0,,,22.0,3.0,0.0,dld,58adfc6e7cf56d0001f931a2,27,2 year degree
21.0,92.5,30.0,29.0,10.0,,,48.0,5.0,11.0,td,5a95a63e4eecca0001dd4cfa,28,High school graduate
10.0,35.0,26.0,36.0,14.0,,,60.0,6.0,10.0,dld,5bf21da1f4d94900011ccf32,26,High school graduate
21.0,82.5,33.0,32.0,12.0,,,61.0,4.0,10.0,td,5cfb82036a293c00169ea37e,25,2 year degree
17.0,100.0,32.0,39.0,10.0,,,57.0,5.0,10.0,dld,5d54fef50a2a1600195cb7cf,27,2 year degree
21.0,0.0,40.0,0.0,10.0,,,64.0,0.0,0.0,dld,5dc98ea46c76b36aaada5f47,22,4 year degree
22.0,100.0,40.0,39.0,14.0,,,70.0,6.0,11.0,td,5dda154216d10c98f29d411f,27,High school graduate
26.0,54.9999999999999,26.0,27.0,13.0,,,44.0,4.0,10.0,td,5e0c664d78322543b1fea686,20,Some college
24.0,95.0,31.0,45.0,14.0,,,62.0,7.0,14.0,td,5e7fefe06c12706d47e35211,25,Professional degree
14.0,67.5,23.0,0.0,7.0,,,36.0,0.0,0.0,dld,5edc465dcee6c191209e2d9a,21,High school graduate
25.0,97.5,37.0,41.0,14.0,,,71.0,9.0,15.0,dld,5f39f31dee7b8f5b55f3767a,23,4 year degree
17.0,90.0,37.0,35.0,9.0,,,40.0,4.0,11.0,td,5f50732850c7c600098593df,25,Some college
24.0,100.0,37.0,35.0,13.0,,,61.0,11.0,14.0,td,5f5ea24540d99b76cb6af503,26,4 year degree
20.0,87.5,34.0,34.0,4.0,,,70.0,,,dld,5f9389fafdbecb173b329cca,23,Some college
19.0,87.5,39.0,43.0,11.0,,,72.0,7.0,13.0,dld,603c30cc6aac099ca7f0b6b9,23,High school graduate
